Sexe:--- Sexe:: 6.081162904980619e-05;;;TimesVisited: 1334
Creatinine (HIGHEST value)--- C-reactive protein (CRP) (HIGHEST value): 0.02878873000057125;;;TimesVisited: 287
Creatinine (HIGHEST value)--- Glucose (HIGHEST value): 0.039537558935879735;;;TimesVisited: 242
Potassium K+ (HIGHEST value)--- Potassium K+ (HIGHEST value): 0.007679455038476557;;;TimesVisited: 490
C-reactive protein (CRP) (HIGHEST value)--- C-reactive protein (CRP) (HIGHEST value): 2.55351295663786e-15;;;TimesVisited: 5951
C-reactive protein (CRP) (HIGHEST value)--- Glucose (HIGHEST value): 0.026146489012113694;;;TimesVisited: 301
Glucose (HIGHEST value)--- C-reactive protein (CRP) (HIGHEST value): 0.01119585804612444;;;TimesVisited: 430
Total bilirubin (HIGHEST value)--- Total bilirubin (HIGHEST value): 0.0002390851466426147;;;TimesVisited: 1086
Glucose (HIGHEST value)--- Glucose (HIGHEST value): 1.6023027349376662e-10;;;TimesVisited: 3780
Visite effectu�e?--- Visite effectu�e?: 0.0011954149402042535;;;TimesVisited: 802
Number of comorbidities: --- Number of comorbidities: : 1.132144691995407e-06;;;TimesVisited: 2076
